id	title	url
PELiwxya3x8	３・山崎さん　一点継続指向航行（コース３チームNewFlightMode）２/2	https://www.youtube.com/watch?v=PELiwxya3x8
tq04-6OUY8s	４・山崎さん　ラズパイWifiサーバーにPCからオートミッション　1/2	https://www.youtube.com/watch?v=tq04-6OUY8s
ZL6yaBOclss	４・山崎さん　ラズパイWifiサーバーにPCからオートミッション　２/2	https://www.youtube.com/watch?v=ZL6yaBOclss
cPe-aNAG8AA	５・渋谷さん　３DプリンタIRIS　１０期から大いなる成長の巻	https://www.youtube.com/watch?v=cPe-aNAG8AA
gwzSP2dhjPg	６・渋谷さん　IRIS with ラズパイ　アルコ追従航行	https://www.youtube.com/watch?v=gwzSP2dhjPg
9aeyP12A6-I	７・青葉さん　初DIY445　安定の航行成功！　1/2	https://www.youtube.com/watch?v=9aeyP12A6-I
i-MeApW08wQ	７・青葉さん　初DIY445　安定の航行成功！　2/2	https://www.youtube.com/watch?v=i-MeApW08wQ
sHiewnkb5dM	8・伊藤さん　DIY初チャレンジ　次回に乞うご期待！	https://www.youtube.com/watch?v=sHiewnkb5dM
qRcRRotXoBE	９・太田さん　３６０カメラローバー　Obstacle Avoidance Bendy Ruler　1/2	https://www.youtube.com/watch?v=qRcRRotXoBE
1DoRaDLEdhs	９・太田さん　３６０カメラローバー　Obstacle Avoidance Bendy Ruler　2/2	https://www.youtube.com/watch?v=1DoRaDLEdhs
ak2YtIPHNUU	10・渋谷さん　４４５ w/ラズパイ　T265 SLAM (Non GPS) フライト	https://www.youtube.com/watch?v=ak2YtIPHNUU
qX0IXn6iV9k	１１・鈴木さん　３DプリンターDIYフレーム　リベンジ達成！	https://www.youtube.com/watch?v=qX0IXn6iV9k
nUflkA2Yqeg	１２・古橋さん　自作ローバーネットワークRTK自動走行　まもなく完成！	https://www.youtube.com/watch?v=nUflkA2Yqeg
o3Eu7h9XhZ0	１３・森山さん　SOLOにOrangeCube　オートミッション初成功！　1/2	https://www.youtube.com/watch?v=o3Eu7h9XhZ0
eurvnmCHJNU	１３・森山さん　SOLOにOrangeCube　オートミッション初成功！　２/2	https://www.youtube.com/watch?v=eurvnmCHJNU
2q6c5ytM-I4	１４・徳毛さん　ローバーオートまもなく完成　おじさまたちに支えられ！？	https://www.youtube.com/watch?v=2q6c5ytM-I4
P9UaZPRFS2c	１５・阿部さん　DroneKitオートプログラム　３度めの正直	https://www.youtube.com/watch?v=P9UaZPRFS2c
_WQ7BGJhb2M	１6・我田先生　ボートオートミッション・・・のはず！？	https://www.youtube.com/watch?v=_WQ7BGJhb2M
b9eOiQ5ErpA	１７・川村先生　ボートチューニングレッスン	https://www.youtube.com/watch?v=b9eOiQ5ErpA
